,ident,grp,col,country,cid,name,full_name,coord1D,coord2D
0,28573,EPP-ED,#3399FF,Greece,GRC,Nikolaos_VAKALIS,"VAKALIS, Nikolaos",0.11079952865839,-0.36306244134903004
1,2097,EPP-ED,#3399FF,UnitedKingdom,GBR,Giles_CHICHESTER,"CHICHESTER, Giles",0.24367390573024697,0.777211248874664
2,4519,PES,#FF0000,UnitedKingdom,GBR,Claude_MORAES,"MORAES, Claude",-0.0751653611660004,-0.9971710443496701
3,4298,EUL_NGL,#990000,Germany,DEU,André_BRIE,"BRIE, André",-0.266459435224533,0.934718132019043
4,28275,EPP-ED,#3399FF,Poland,POL,Małgorzata_HANDZLIK,"HANDZLIK, Malgorzata",0.16596503555774697,-0.263760030269623
5,28283,ALDE,#FFFF00,Lithuania,LTU,Eugenijus_GENTVILAS,"GENTVILAS, Eugenijus",0.0458945855498314,0.000109062981209718
6,23792,UEN,#99FFFF,Poland,POL,Michał_Tomasz_KAMIŃSKI,"KAMINSKI, Michal Tomasz",0.15341426432132702,0.645046830177307
7,29074,EPP-ED,#3399FF,Italy,ITA,Vito_BONSIGNORE,"BONSIGNORE, Vito",0.144457563757896,-0.24302141368389105
8,4517,EPP-ED,#3399FF,UnitedKingdom,GBR,Christopher_HEATON-HARRIS,"HEATON-HARRIS, Christopher",0.27888423204421997,0.8956317305564879
9,28269,EPP-ED,#3399FF,Poland,POL,Jerzy_BUZEK,"BUZEK, Jerzy",0.15931682288646698,-0.17598877847194697
10,28451,EPP-ED,#3399FF,Italy,ITA,Lorenzo_CESA,"CESA, Lorenzo",0.111900888383389,-0.524924993515015
11,28294,EPP-ED,#3399FF,Slovenia,SVN,Ljudmila_NOVAK,"NOVAK, Ljudmila",0.150932386517525,-0.377642869949341
12,37008,EUL_NGL,#990000,Sweden,SWE,Jens_HOLM,"HOLM, Jens",-0.30883836746215804,0.951114594936371
13,1040,G_EFA,#009900,Germany,DEU,Friedrich-Wilhelm_GRAEFE_zu_BARINGDORF,"GRAEFE zu BARINGDORF, Friedrich-Wilhelm",-0.20778805017471302,0.37145429849624606
14,28298,PES,#FF0000,Spain,ESP,Iratxe_GARCÍA_PÉREZ,"GARCÍA PÉREZ, Iratxe",-0.0850998014211655,-0.9963724613189701
15,94577,PES,#FF0000,Slovenia,SVN,Aurelio_JURI,"JURI, Aurelio",-0.0618741735816002,-0.9913831949234009
16,4562,EPP-ED,#3399FF,Italy,ITA,Giuseppe_GARGANI,"GARGANI, Giuseppe",0.16027759015560197,-0.367498099803925
17,1164,NI,#DDDDDD,France,FRA,Bruno_GOLLNISCH,"GOLLNISCH, Bruno",0.0872237160801888,0.9961887001991271
18,4347,EPP-ED,#3399FF,France,FRA,Christine_DE_VEYRAC,"DE VEYRAC, Christine",0.12809169292449998,-0.38791039586067205
