,ident,grp,col,country,cid,name,Unnamed: 0,Unnamed: 0.1,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname
0,96866,S_D,#FF0000,Italy,ITA,salvatore_caronna,100.0,"CARONNA, Salvatore",101.0,"CARONNA, Salvatore",Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3992.0,142.0,157.0,1617.0,0.8746875524520871,0.949390656736628,-0.19293910264968894,-0.247000008821487,0.0,0.0,0.0,CARONNA,Salvatore
1,28377,S_D,#FF0000,Poland,POL,lidia_joanna_geringer_de_oedenberg,225.0,"GERINGER de OEDENBERG, Lidia Joanna",226.0,"GERINGER de OEDENBERG, Lidia Joanna",Poland,Sojusz Lewicy Demokratycznej,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4111.0,248.0,175.0,1652.0,0.8210852742195129,0.931619786614937,-0.168150007724762,-0.288408637046814,0.0,0.0,0.0,GERINGER de OEDENBERG,Lidia Joanna
2,28400,EPP,#80BFFF,Spain,ESP,francisco_josé_millán_mon,453.0,"MILLÁN MON, Francisco José",454.0,"MILLÁN MON, Francisco José",Spain,Partido Popular,Group of the European People's Party (Christian Democrats),3496.0,152.0,84.0,2177.0,0.8893440365791321,0.960060924014216,-0.0102399177849293,-0.9999476671218872,0.0,0.0,0.0,MILLÁN MON,Francisco José
3,28514,EUL_NGL,#990000,Cyprus,CYP,kyriacos_triantaphyllides,666.0,"TRIANTAPHYLLIDES, Kyriacos",667.0,"TRIANTAPHYLLIDES, Kyriacos",Cyprus,Progressive Party of Working People - Left - New Forces,Confederal Group of the European United Left - Nordic Green Left,2557.0,1030.0,406.0,1030.0,0.6230209469795229,0.7141150706748951,-0.941405057907104,0.172707825899124,0.0,0.0,0.0,TRIANTAPHYLLIDES,Kyriacos
4,96978,EPP,#80BFFF,Portugal,PRT,nuno_melo,441.0,"MELO, Nuno",442.0,"MELO, Nuno",Portugal,Partido Popular,Group of the European People's Party (Christian Democrats),2971.0,91.0,142.0,1841.0,0.878657877445221,0.9538156590683852,-0.0180355217307806,-0.9998373985290532,0.0,0.0,0.0,MELO,Nuno
5,1945,EPP,#80BFFF,Italy,ITA,salvatore_tatarella,646.0,"TATARELLA, Salvatore",647.0,"TATARELLA, Salvatore",Italy,Futuro e Libertà per l'Italia,Group of the European People's Party (Christian Democrats),2594.0,82.0,109.0,1457.0,0.875517547130585,0.954974068835455,-0.0178550127893686,-0.9295830130577092,0.0,0.0,0.0,TATARELLA,Salvatore
6,1956,EFD,#FF9900,Belgium,BEL,frank_vanhecke,684.0,"VANHECKE, Frank",685.0,"VANHECKE, Frank",Belgium,Onafhankelijk,Europe of freedom and democracy Group,1311.0,461.0,698.0,1428.0,0.525681972503662,0.702668034889687,0.110747560858727,0.402419239282608,0.0,0.0,0.0,VANHECKE,Frank
7,96812,S_D,#FF0000,Spain,ESP,juan_fernando_lópez_aguilar,397.0,"LÓPEZ AGUILAR, Juan Fernando",398.0,"LÓPEZ AGUILAR, Juan Fernando",Spain,Partido Socialista Obrero Español,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3722.0,156.0,224.0,1431.0,0.8452250957489009,0.931321163925538,-0.190625250339508,-0.28259637951850897,0.0,0.0,0.0,LÓPEZ AGUILAR,Juan Fernando
8,96737,G_EFA,#009900,France,FRA,nicole_kiil-nielsen,342.0,"KIIL-NIELSEN, Nicole",343.0,"KIIL-NIELSEN, Nicole",France,Europe Écologie,Group of the Greens/European Free Alliance,3956.0,236.0,160.0,1566.0,0.84377247095108,0.933085501858736,-0.384949594736099,0.7973162531852719,0.0,0.0,0.0,KIIL-NIELSEN,Nicole
9,97020,S_D,#FF0000,Italy,ITA,guido_milana,452.0,"MILANA, Guido",453.0,"MILANA, Guido",Italy,Partito Democratico,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3324.0,109.0,169.0,1361.0,0.8588199019432071,0.9439854926455772,-0.19253222644329104,-0.22763992846012104,0.0,0.0,0.0,MILANA,Guido
10,1906,S_D,#FF0000,Germany,DEU,bernhard_rapkay,534.0,"RAPKAY, Bernhard",535.0,"RAPKAY, Bernhard",Germany,Sozialdemokratische Partei Deutschlands,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,3964.0,149.0,139.0,1575.0,0.884529411792755,0.95057490990218,-0.20012302696704895,-0.11868754774332,0.0,0.0,0.0,RAPKAY,Bernhard
11,96716,S_D,#FF0000,CzechRepublic,CZE,zuzana_brzobohatá,85.0,"BRZOBOHATÁ, Zuzana",86.0,"BRZOBOHATÁ, Zuzana",Czech Republic,Česká strana sociálně demokratická,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,4096.0,125.0,114.0,1695.0,0.8846349120140079,0.960364842454395,-0.193907350301743,-0.248256757855415,0.0,0.0,0.0,BRZOBOHATÁ,Zuzana
12,110987,EPP,#80BFFF,Italy,ITA,gino_trematerra,784.0,"TREMATERRA, Gino",785.0,"TREMATERRA, Gino",Italy,Unione dei Democratici cristiani e dei Democratici di Centro,Group of the European People's Party (Christian Democrats),1041.0,34.0,25.0,548.0,0.9018578529357908,0.964199029126214,-0.0250674858689308,-0.976405322551727,0.0,0.0,0.0,TREMATERRA,Gino
13,28330,EUL_NGL,#990000,CzechRepublic,CZE,vladimír_remek,538.0,"REMEK, Vladimír",539.0,"REMEK, Vladimír",Czech Republic,Komunistická strana Čech a Moravy,Confederal Group of the European United Left - Nordic Green Left,1742.0,572.0,424.0,685.0,0.455484092235565,0.7090271691498691,-0.24147728085517894,0.927177250385284,0.0,0.0,0.0,REMEK,Vladimír
14,96834,EPP,#80BFFF,Bulgaria,BGR,iliana_ivanova,305.0,"IVANOVA, Iliana",306.0,"IVANOVA, Iliana",Bulgaria,Citizens for European Development of Bulgaria,Group of the European People's Party (Christian Democrats),1691.0,41.0,63.0,1076.0,0.903375685214996,0.963775687913619,-0.0124759925529361,-0.9151286482810972,0.0,0.0,0.0,IVANOVA,Iliana
