,Unnamed: 0,MEP.ID,FullName,Country,Party,EPG,correctYea,wrongYea,wrongNay,correctNay,GMP,CC,coord1D,coord2D,se1D,se2D,corr.1,lastname,firstname,name
0,"ABAD, Damien",1,"ABAD, Damien",France,Nouveau Centre,Group of the European People's Party (Christian Democrats),1357.0,55.0,76.0,688.0,0.8619045615196229,0.939797794117647,-0.0291419234126806,-0.7379773855209351,0.0,0.0,0.0,ABAD,Damien,damien_abad
1,"ÁDER, János",2,"ÁDER, János",Hungary,Fidesz-Magyar Polgári Szövetség-Keresztény Demokrata Néppárt,Group of the European People's Party (Christian Democrats),1433.0,72.0,73.0,822.0,0.855877459049225,0.939583333333333,-0.0154178682714701,-0.880695998668671,0.0,0.0,0.0,ÁDER,János,jános_áder
2,"AGNEW, John Stuart",3,"AGNEW, John Stuart",United Kingdom,United Kingdom Independence Party,Europe of freedom and democracy Group,575.0,654.0,260.0,3289.0,0.70341956615448,0.8087065717873589,0.8342518806457521,0.5513836145401,0.0,0.0,0.0,AGNEW,John Stuart,john_stuart_agnew
3,"ALBERTINI, Gabriele",4,"ALBERTINI, Gabriele",Italy,Il Popolo della Libertà,Group of the European People's Party (Christian Democrats),1800.0,36.0,63.0,1092.0,0.905394017696381,0.9669007021063191,-0.0134128257632256,-0.985349416732788,0.0,0.0,0.0,ALBERTINI,Gabriele,gabriele_albertini
4,"ALBRECHT, Jan Philipp",5,"ALBRECHT, Jan Philipp",Germany,Bündnis 90/Die Grünen,Group of the Greens/European Free Alliance,3796.0,236.0,164.0,1463.0,0.835465967655182,0.929316133592508,-0.37611803412437395,0.814691603183746,0.0,0.0,0.0,ALBRECHT,Jan Philipp,jan_philipp_albrecht
5,"ALFANO, Sonia",6,"ALFANO, Sonia",Italy,Italia dei Valori - Lista Di Pietro,Group of the Alliance of Liberals and Democrats for Europe,2113.0,233.0,253.0,672.0,0.734589159488678,0.851421583613574,-0.19595509767532301,0.556289315223694,0.0,0.0,0.0,ALFANO,Sonia,sonia_alfano
6,"ALFONSI, François",7,"ALFONSI, François",France,Partitu di a Nazione Corsa,Group of the Greens/European Free Alliance,3661.0,224.0,186.0,1395.0,0.821476936340332,0.924990852542993,-0.374812930822372,0.770463526248932,0.0,0.0,0.0,ALFONSI,François,françois_alfonsi
7,"ALLAM, Magdi Cristiano",8,"ALLAM, Magdi Cristiano",Italy,'Io amo l'Italia',Europe of freedom and democracy Group,1626.0,811.0,704.0,1506.0,0.47638717293739297,0.6739832149774051,0.0823745429515839,0.309342831373215,0.0,0.0,0.0,ALLAM,Magdi Cristiano,magdi_cristiano_allam
8,"ALVAREZ, Magdalena",9,"ALVAREZ, Magdalena",Spain,Independent,Group of the Progressive Alliance of Socialists and Democrats in the European Parliament,445.0,26.0,12.0,264.0,0.8647392988204959,0.9491298527443109,-0.18470580875873602,-0.225662887096405,0.0,0.0,0.0,ALVAREZ,Magdalena,magdalena_alvarez
9,"ALVARO, Alexander",10,"ALVARO, Alexander",Germany,Freie Demokratische Partei,Group of the Alliance of Liberals and Democrats for Europe,2283.0,311.0,179.0,1085.0,0.75711989402771,0.872991187143598,-0.0905512049794197,0.34047126770019503,0.0,0.0,0.0,ALVARO,Alexander,alexander_alvaro
