"fileid"	"votetitle"	"fulltitle"	"policyarea"	"docref"	"dossiercommittee"	"epref"	"legalbasis"	"reporterinfo"	"reporterid"	"date"	"votescount"	"for"	"against"	"abstain"	
"5228"	"Report: Capoulas Santos (A6-0402/2008) - Amendment 208"	"Common agricultural policy CAP: support schemes for farmers (repeal. Regulation (EC) No 1782/2003)"	"Agriculture"	"CNS/2008/0103"	"AGRI/6/63395"	"A6-0402/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=568&key=0"	"568"	"2008-11-19"	"684"	"155"	"504"	"25"	
"4324"	"Report: Meijer A6-0059/2008 - Amendment 7"	"2007 progress report on FYROM"	"Foreign Affairs"	"INI/2007/2268"	"AFET/6/56656"	"A6-0059/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=411&key=0"	"411"	"2008-04-23"	"665"	"595"	"30"	"40"	
"4716"	"Report: Corbett A6-0206/2008 - decision"	"EP Rules of Procedure, Rule 29: formation of political groups"	"Constitutional Affairs"	"REG/2006/2201"	"AFCO/6/39117"	"A6-0206/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=255&key=0"	"255"	"2008-07-09"	"710"	"481"	"203"	"26"	
"4330"	"Report: Meijer A6-0059/2008 - resolution"	"2007 progress report on FYROM"	"Foreign Affairs"	"INI/2007/2268"	"AFET/6/56656"	"A6-0059/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=411&key=0"	"411"	"2008-04-23"	"683"	"601"	"52"	"30"	
"4442"	"Recommendation: Papadimoulis A6-0102/2008 – collective vote 1"	"Dangerous substances, metallic mercury: banning of exports, safe storage"	"Environment, Public Health and Food Safety"	"COD/2006/0206"	"ENVI/6/58043"	"A6-0102/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=29&key=0"	"29"	"2008-05-21"	"681"	"666"	"9"	"6"	
"4692"	"Report: Haug A6-0262/2008 - paragraph 88"	"2009 budget: first reflections on the 2009 PDB mandate for the conciliation"	"Budgets"	"BUD/2008/2025"	"BUDG/6/58979"	"A6-0262/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=288&key=0"	"288"	"2008-07-08"	"681"	"607"	"50"	"24"	
"4533"	"Report: Kuhne A6-0186/2008 – resolution"	"Annual report on the implementation of the European Security Strategy and ESDP"	"Foreign Affairs"	"INI/2008/2003"	"AFET/6/57996"	"A6-0186/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=305&key=0"	"305"	"2008-06-05"	"642"	"500"	"106"	"36"	
"5087"	"Rapport Andersson A6-0370/2008 - am. 17/1"	"Challenges to collective agreements in the EU"	"Employment and Social Affairs"	"INI/2008/2085"	"EMPL/6/61395"	"A6-0370/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=237&key=0"	"237"	"2008-10-22"	"685"	"123"	"543"	"19"	
"4183"	"Report: Uca A6-0035/2008 - Am. 10"	"Gender equality and women empowerment in development cooperation"	"Development"	"INI/2007/2182"	"DEVE/6/53436"	"A6-0035/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=32&key=0"	"32"	"2008-03-13"	"537"	"176"	"336"	"25"	
"4065"	"B6-0076/2008 - Lisbon Strategy - Am. 12"	"Resolution on the input for the 2008 Spring Council as regards the Lisbon Strategy"	""	"RSP/2007/2649"	""	"B6-0076/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=0&key=0"	"0"	"2008-02-20"	"666"	"623"	"29"	"14"	
"5022"	"Report: Peterle (A6-0350/2008) - resolution"	"Together for health: a strategic approach for the EU 2008-2013"	"Environment, Public Health and Food Safety"	"INI/2008/2115"	"ENVI/6/55835"	"A6-0350/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=182&key=0"	"182"	"2008-10-09"	"598"	"554"	"23"	"21"	
"4236"	"Report: Graça Moura A6-0075/2008 – resolution"	"European agenda for culture in a globalising world"	"Culture and Education"	"INI/2007/2211"	"CULT/6/51098"	"A6-0075/2008"	""	"http://www.itsyourparliament.eu/api/0409mep.php?id=114&key=0"	"114"	"2008-04-10"	"616"	"542"	"62"	"12"	
