"Vote" "Order" "X" "Date" "Title" "Procedure" "Leg.NonLeg" "Policy.Area" "RCV" "Result" "Yaes" "Nays" "Abstentions" "Period" "ALDE" "EPP_ED" "SOC" "CoalAE" "CoalAS" "CoalES"
"1" 1 1 1 2004-09-15 "EU-Mauritius fishing agreement" "CNS *" "Leg" "Fisheries" "RCV" "+" "405" 63 73 "2004-09-01" 1 1 1 1 1 1
"2" 2 1 2 2004-09-15 "EU-Mauritius fishing agreement" "CNS *" "Leg" "Fisheries" "RCV" "+" "415" 56 67 "2004-09-01" 1 1 1 1 1 1
"3" 3 1 1 2004-09-15 "EU-Madagascar Fishing agreement" "CNS *" "Leg" "Fisheries" "RCV" "+" "504" 79 84 "2004-09-01" 1 1 1 1 1 1
"4" 4 1 2 2004-09-15 "EU-Madagascar Fishing agreement" "CNS *" "Leg" "Fisheries" "RCV" "+" "507" 68 86 "2004-09-01" 1 1 1 1 1 1
"5" 5 1 1 2004-09-15 "EU-Cape Verde Fishing agreement" "CNS *" "Leg" "Fisheries" "RCV" "+" "495" 74 104 "2004-09-01" 1 1 1 1 1 1
"6" 6 1 2 2004-09-15 "EU-Cape Verde Fishing agreement" "CNS *" "Leg" "Fisheries" "RCV" "+" "490" 71 109 "2004-09-01" 1 1 1 1 1 1
"7" 7 2 1 2004-09-16 "International Civil Aviation Organi" "RSP" "Non" "Transport & tourism" "RCV" "+" "316" 20 206 "2004-09-01" 1 1 1 1 1 1
"8" 8 2 1 2004-09-16 "Situation in Belarus" "RSP" "Non" "Foreign & security policy" "RCV" "+" "499" 20 26 "2004-09-01" 1 1 1 1 1 1
"9" 9 2 1 2004-09-16 "Sudan" "RSP" "Non" "Development" "RCV" "+" "566" 6 16 "2004-09-01" 1 1 1 1 1 1
"10" 10 2 1 2004-09-16 "Situation in Iraq" "RSP" "Non" "Foreign & security policy" "RCV" "-" "114" 315 155 "2004-09-01" 0 0 1 1 0 0
"11" 11 2 2 2004-09-16 "Situation in Iraq" "RSP" "Non" "Foreign & security policy" "RCV" "-" "54" 372 174 "2004-09-01" 0 0 0 1 1 1
"12" 12 2 3 2004-09-16 "Situation in Iraq" "RSP" "Non" "Foreign & security policy" "RCV" "-" "89" 328 174 "2004-09-01" 1 0 0 0 0 1
"13" 13 2 4 2004-09-16 "Situation in Iraq" "RSP" "Non" "Foreign & security policy" "RCV" "+" "567" 7 21 "2004-09-01" 1 1 1 1 1 1
"14" 14 2 5 2004-09-16 "Situation in Iraq" "RSP" "Non" "Foreign & security policy" "RCV" "-" "138" 280 176 "2004-09-01" 1 0 1 0 1 0
"15" 15 2 6 2004-09-16 "Situation in Iraq" "RSP" "Non" "Foreign & security policy" "RCV" "+" "533" 43 26 "2004-09-01" 1 1 1 1 1 1
"16" 16 2 1 2004-09-16 "CITES Convention" "RSP" "Non" "Foreign & security policy" "RCV" "+" "504" 29 45 "2004-09-01" 1 1 1 1 1 1
"17" 17 2 2 2004-09-16 "CITES Convention" "RSP" "Non" "Foreign & security policy" "RCV" "+" "542" 15 15 "2004-09-01" 1 1 1 1 1 1
"18" 18 2 1 2004-09-16 "Maldives" "RSP" "Non" "Foreign & security policy" "RCV" "+" "153" 0 7 "2004-09-01" 1 1 1 1 1 1
