id,term,file,order_of_vote,vote_date,title,leg_nonleg_bud,vote_type,vote_rule,rapporteur,code,url,committee,de,part,subject,final_vote,am_no,author,num_yes,num_no,num_abs,intfileno
1,7,1,1,2009-09-14,"Election of the President of the European Commission after the Lisbon Treaty",Non,"Agenda setting",s,0,0,http://www.europarl.europa.eu/activities/plenary/pv.do?language=EN,,"Internal regulations of the EP",0,0,1,0,0,135,248,14,0
2,7,2,1,2009-09-15,"Agreement EC/Mongolia on certain aspects of air services",Leg,"Legislative resolution",s,"Brian SIMPSON",A7-0001/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0001&language=EN,"Committee on Transport and Tourism","Transport & tourism",0,"Single vote",1,0,0,456,21,2,2007/0252/CNS
3,7,2,1,2009-09-15,"EC-China agreement: maritime transport operations; accession of Bulgaria and Romania ",Leg,"Legislative resolution",s,"Brian SIMPSON",A7-0002/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0002&language=EN,"Committee on Transport and Tourism","Transport & tourism",0,"Single vote",1,0,0,558,19,11,2008/0133/CNS
4,7,2,1,2009-09-15,"Mobilisation of the European Globalisation Adjustment Fund",Bud,"Motions for a resolution",q,"Reimer BÖGE",A7-0008/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0006&language=EN,"Committee on Budgets",Budget,0,"Single vote",1,0,0,581,23,6,2009/2066/BUD
5,7,2,1,2009-09-15,"Mobilisation of the European Union Solidarity Fund",Bud,"Motions for a resolution",q,"Reimer BÖGE",A7-0006/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0008&language=EN,"Committee on Budgets",Budget,0,"Single vote",1,0,0,578,26,12,2009/2048/BUD
6,7,2,1,2009-09-15,"Draft amending budget No 6/2009 on Draft amending budget No 6/2009 of the European Union for the financial year 2009, Section III – Commission",Bud,"Motions for a resolution",q,"Jutta HAUG",A7-0003/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0003&language=EN,"Committee on Budgets",Budget,0,"Single vote",1,0,0,600,8,33,2009/2047/BUD
7,7,2,1,2009-09-15,"Draft amending budget No 7/2009 on Draft amending budget No 7/2009 of the European Union for the financial year 2009 (Klaus storm in France)
",Bud,"Motions for a resolution",q,"Jutta HAUG",A7-0009/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0009&language=EN,"Committee on Budgets",Budget,0,"Single vote",1,0,0,605,23,14,2009/2046/BUD
8,7,2,1,2009-09-15,"Draft amending budget No 8/2009 
on Draft amending budget No 8/2009 of the European Union for the financial year 2009: Europol, Eurojust, OLAF",Bud,"Motions for a resolution",q,"Jutta HAUG",A7-0010/2009,http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0010&language=EN,"Committee on Budgets",Budget,0,"Single vote",1,0,0,594,27,30,2009/2050/BUD
9,7,3,1,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 2",0,10,GUE/NGL,359,322,17,2009/2668/RSP
10,7,3,2,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"paragraph 9",0,15,S&D,654,20,6,2009/2668/RSP
11,7,3,3,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 9",0,16,S&D,297,389,7,2009/2668/RSP
12,7,3,4,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 11",0,13,S&D,406,272,17,2009/2668/RSP
13,7,3,5,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",1,"After paragraph 12",0,4,Greens/EFA,310,389,6,2009/2668/RSP
14,7,3,6,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",2,"After paragraph 12",0,4,Greens/EFA,369,320,11,2009/2668/RSP
15,7,3,7,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 12",0,5,Greens/EFA,440,250,13,2009/2668/RSP
16,7,3,8,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 20",0,6,"Greens/EFA, S&D",311,371,19,2009/2668/RSP
17,7,3,9,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 20",0,12,GUE/NGL,300,379,16,2009/2668/RSP
18,7,3,10,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 25",0,17,S&D,375,321,13,2009/2668/RSP
19,7,3,11,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"After paragraph 27",0,14,S&D,362,308,29,2009/2668/RSP
20,7,3,12,2009-09-16,"Motions for resolutions - Forest fires in Europe in the summer of 2009",Non,"Motions for a resolution",s,0,"B7-0039/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0039&language=EN,0,"Environment & public health",0,"vote: resolution (text as a whole) ",1,0,0,647,31,22,2009/2668/RSP
21,7,4,1,2009-09-17,"Report: Paolo De Castro -2009 and 2010 intervention periods for butter and skimmed milk powder",Leg,"Legislative resolution",s,"DE CASTRO ","A7-0005/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0005&language=EN,"Committee on Agriculture and Rural Development",Agriculture,0,"Single vote",1,0,0,447,70,16,2009/0094/CNS
22,7,4,1,2009-09-17,"Report: Paolo De Castro-Common agricultural policy (CAP): support schemes for farmers",Leg,"Legislative resolution",s,"DE CASTRO ","A7-0004/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0004&language=EN,"Committee on Agriculture and Rural Development",Agriculture,0,"Single vote",1,0,0,525,16,31,2009/0084/CNS
23,7,4,1,2009-09-17,"Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT)",Non,"Motions for a resolution",s,0,"B7-0038/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B7-2009-0038&language=EN,0,"Civil liberties, justice & home affairs",0,"paragraph 1  ",0,4,GUE/NGL,159,439,4,2009/2670/RSP
24,7,4,2,2009-09-17,"Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT)",Non,"Motions for a resolution",s,0,"B7-0038/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B7-2009-0038&language=EN,0,"Civil liberties, justice & home affairs",0,"paragraph 13",0,1,Greens/EFA,141,442,22,2009/2670/RSP
25,7,4,3,2009-09-17,"Motions for resolutions on the envisaged international agreement to make available to the United States Treasury Department financial payment messaging data to prevent and combat terrorism and terrorist financing (SWIFT)",Non,"Motions for a resolution",s,0,"B7-0038/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B7-2009-0038&language=EN,0,"Civil liberties, justice & home affairs",0,"Recital G",0,3,GUE/NGL,298,313,7,2009/2670/RSP
26,7,4,1,2009-09-17,"Motion for a resolution-EC/Tajikistan Partnership and Cooperation Agreement",Non,"Motions for a resolution",s,0,"B7-0025/2009  ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=B7-2009-0025&language=EN,0,"Foreign & security policy",2,"paragraph 34",0,0,"original text",517,89,9,2009/2624/RSP
27,7,4,1,2009-09-17,"Recommendation Alojz Peterle-Conclusion of a Partnership and Cooperation Agreement between the EC and the Republic of Tajikistan ",Leg,"Legislative resolution",s," PETERLE ","A7-0007/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=REPORT&reference=A7-2009-0007&language=EN,"Committee on Foreign Affairs","Foreign & security policy",0,"vote: legislative resolution",1,0,0,555,43,17,2004/0176/AVC
28,7,4,1,2009-09-17,"Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors",Non,"Motions for a resolution",s,0,"B7-0026/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0026&language=EN,0,"Civil liberties, justice & home affairs",0,"paragraph 1",0,0,"original text",314,238,47,2009/2632/RSP
29,7,4,2,2009-09-17,"Motions for resolutions - Situation in Lithuania following the adoption of the law on protection of minors",Non,"Motions for a resolution",s,0,"B7-0026/2009 ",http://www.europarl.europa.eu/sides/getDoc.do?type=MOTION&reference=P7-RC-2009-0026&language=EN,0,"Civil liberties, justice & home affairs",0,"paragraph 6",0,0,"original text",342,259,29,2009/2632/RSP
