"fileid"	"votetitle"	"fulltitle"	"policyarea"	"docref"	"dossiercommittee"	"epref"	"legalbasis"	"reporterinfo"	"reporterid"	"date"	"votescount"	"for"	"against"	"abstain"	
"1472"	"A7-0287/2010 - Martin Callanan - Am 58/3"	"Reduction of CO2 emissions from light-duty vehicles: emission performance standards for new light commercial vehicles"	"Environment, Public Health and Food Safety"	"COD/2009/0173"	"ENVI/7/01506"	"A7-0287/2010"	""	"http://www.itsyourparliament.eu/api/mep.php?id=592&key=0"	"592"	"2011-02-15"	"638"	"513"	"113"	"12"	
"2360"	"RC-B7-0274/2011 - Am 2"	"Resolution on the case of Ai Weiwei"	""	"RSP/2011/2664"	""	"RC-B7-0274/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-04-07"	"39"	"35"	"4"	"0"	
"2569"	"Projet de budget général de l'Union européenne - Exercice 2012 - Am 1145"	""	"Budgets"	""	""	""	""	"&key=0"	""	"2011-10-26"	"675"	"553"	"111"	"11"	
"1804"	"A7-0090/2011 - Sajjad Karim - Vote unique"	"Wheeled agricultural or forestry tractors: installation, location, operation and identification of the controls (repeal. Directive 86/415/EEC). Codification"	"Legal Affairs"	"COD/2010/0348"	"JURI/7/04798"	"A7-0090/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=594&key=0"	"594"	"2011-05-11"	"605"	"579"	"16"	"10"	
"2424"	"A7-0178/2011 - Corien Wortmann-Kool - Proposition modifiée"	"Economic and Monetary Union EMU: strengthening of the surveillance of budgetary positions and the surveillance and coordination of economic policies (amend. Regulation (EC) No 1466/97)"	"Economic and Monetary Affairs"	"COD/2010/0280"	"ECON/7/04121"	"A7-0178/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=372&key=0"	"372"	"2011-09-28"	"656"	"356"	"265"	"35"	
"2695"	"A7-0360/2011 - Jan Březina - Résolution législative"	"Euratom Framework Programme 2012-2013: nuclear research and training activities"	"Industry, Research and Energy"	"NLE/2011/0046"	"ITRE/7/05611"	"A7-0360/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=229&key=0"	"229"	"2011-11-17"	"593"	"444"	"120"	"29"	
"1580"	"A7-0026/2011 - Martin Häusling - § 15/2"	"EU protein deficit: what solution for a long standing problem?"	"Agriculture and Rural Development"	"INI/2010/2111"	"AGRI/7/02734"	"A7-0026/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=568&key=0"	"568"	"2011-03-08"	"632"	"502"	"128"	"2"	
"1766"	"A7-0088/2011 - Crescenzio Rivellini - § 12/3"	"2009 discharge: EU general budget, Council"	"Budgetary Control"	"DEC/2010/2144"	"CONT/7/03761"	"A7-0088/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-05-10"	"629"	"621"	"0"	"8"	
"1669"	"A7-0024/2011 - Estelle Grelier - Résolution"	"Conservation of fishery resources: transitional technical measures 1 January 2010 - 30 June 2011 (amend. Regulation (EC) No 1288/2009)"	"Fisheries"	"COD/2010/0255"	"PECH/7/03903"	"A7-0024/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=536&key=0"	"536"	"2011-04-06"	"683"	"622"	"40"	"21"	
"2577"	"Projet de budget général de l'Union européenne - Exercice 2012 - Am 1241"	""	"Budgets"	""	""	""	""	"&key=0"	""	"2011-10-26"	"672"	"484"	"168"	"20"	
"2618"	"A7-0325/2011 - Ingeborg Gräßle et Crescenzio Rivellini - Am 56"	"Financial Regulation and Implementing Rules applicable to the annual budget of the Union (repeal. Regulation (EC, Euratom) No 1605/2002)"	"Budgets"	"COD/2010/0395"	"BUDG/7/04994"	"A7-0325/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-10-26"	"671"	"635"	"18"	"18"	
"1515"	"RC-B7-0097/2011 - § 12/2"	"Resolution on Europe 2020"	""	"RSP/2010/3013"	""	"RC-B7-0097/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-02-17"	"607"	"556"	"44"	"7"	
"1499"	"B7-0094/2011 - Am 4"	"2010 progress report on Croatia"	""	"RSP/2010/2995"	""	"B7-0094/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-02-16"	"678"	"251"	"399"	"28"	
"2222"	"A7-0230/2011 - Francesca Balzani - Am 2/3"	"2012 budget: mandate for the trilogue"	"Budgets"	"BUD/2011/2019"	"BUDG/7/05097"	"A7-0230/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=520&key=0"	"520"	"2011-06-23"	"615"	"105"	"496"	"14"	
"2367"	"RC-B7-0043/2011/rev – Resolution"	"Resolution on Iran - the case of Nasrin Sotoudeh"	""	"RSP/2011/2524"	""	"RC-B7-0043/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-01-20"	"79"	"79"	"0"	"0"	
"2303"	"A7-0205/2011 - Filip Kaczmarek - Résolution"	"Increasing the impact of EU development policy"	"Development"	"INI/2011/2047"	"DEVE/7/05231"	"A7-0205/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=483&key=0"	"483"	"2011-07-05"	"558"	"415"	"77"	"66"	
"2333"	"RC-B7-0389/2011 - Am 3"	"Resolution on the situation in Syria, Yemen and Bahrain in the context of the situation in the Arab world and North Africa"	""	"RSP/2011/2756"	""	"RC-B7-0389/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-07-07"	"615"	"75"	"484"	"56"	
"2658"	"A7-0379/2011 - Barbara Matera - Vote unique"	"Mobilisation of the European Globalisation Adjustment Fund: redundancies in the transport sector in Austria"	"Budgets"	"BUD/2011/2199"	"BUDG/7/06921"	"A7-0379/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=314&key=0"	"314"	"2011-11-16"	"624"	"534"	"71"	"19"	
"2711"	"A7-0383/2011 - Danuta Maria Hübner - Vote unique"	""	"Regional Development"	""	""	"A7-0383/2011"	""	"&key=0"	""	"2011-12-01"	"623"	"536"	"43"	"44"	
"1759"	"A7-0094/2011 - Ville Itälä - § 143"	"2009 discharge: EU general budget, European Parliament"	"Budgetary Control"	"DEC/2010/2143"	"CONT/7/03739"	"A7-0094/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=482&key=0"	"482"	"2011-05-10"	"643"	"516"	"117"	"10"	
"2744"	"A7-0437/2011 - Reimer Böge - Vote unique"	""	"Budgets"	""	""	"A7-0437/2011"	""	"&key=0"	""	"2011-12-13"	"699"	"677"	"19"	"3"	
"1853"	"A7-0099/2011 - Mary Honeyball - Vote unique"	"Early Years Learning in the European Union"	"Culture and Education"	"INI/2010/2159"	"CULT/7/03653"	"A7-0099/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=538&key=0"	"538"	"2011-05-12"	"588"	"506"	"27"	"55"	
"1551"	"A7-0032/2011 - Edite Estrela - § 24"	"Reducing health inequalities in the EU"	"Environment, Public Health and Food Safety"	"INI/2010/2089"	"ENVI/7/02651"	"A7-0032/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=380&key=0"	"380"	"2011-03-08"	"668"	"578"	"31"	"59"	
"1601"	"A7-0043/2011 - Lívia Járóka - § 41"	"EU strategy on Roma inclusion"	"Civil Liberties, Justice and Home Affairs"	"INI/2010/2276"	"LIBE/7/04584"	"A7-0043/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=609&key=0"	"609"	"2011-03-09"	"653"	"558"	"38"	"57"	
"1921"	"RC-B7-0353/2011 - Résolution"	"Resolution on the situation in Madagascar"	""	"RSP/2011/2712"	""	"RC-B7-0353/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-06-09"	"62"	"52"	"5"	"5"	
"2225"	"A7-0230/2011 - Francesca Balzani - Am 11"	"2012 budget: mandate for the trilogue"	"Budgets"	"BUD/2011/2019"	"BUDG/7/05097"	"A7-0230/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=520&key=0"	"520"	"2011-06-23"	"613"	"42"	"554"	"17"	
"1913"	"A7-0193/2011 - Salvador Garriga Polledo - § 169"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"673"	"560"	"103"	"10"	
"1848"	"A7-0181/2011 - María Muñiz De Urquiza - § 32/2"	"EU as a global actor: its role in multilateral organisations"	"Foreign Affairs"	"INI/2010/2298"	"AFET/7/04794"	"A7-0181/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=383&key=0"	"383"	"2011-05-11"	"602"	"444"	"155"	"3"	
"2714"	"A7-0361/2011 - Ramon Tremosa i Balcells - Vote unique"	""	"Economic and Monetary Affairs"	""	""	"A7-0361/2011"	""	"&key=0"	""	"2011-12-01"	"631"	"496"	"109"	"26"	
"1905"	"A7-0193/2011 - Salvador Garriga Polledo - Am 7"	"Investing in the future: a new Multiannual Financial Framework (MFF) for a competitive, sustainable and inclusive Europe"	"EU policy challenges and budgetary resources after 2013"	"INI/2010/2211"	"SURE/7/03833"	"A7-0193/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=476&key=0"	"476"	"2011-06-08"	"671"	"104"	"540"	"27"	
"1697"	"A7-0116/2011 - Crescenzio Rivellini - Vote unique"	"2009 discharge: EU general budget, European Ombudsman"	"Budgetary Control"	"DEC/2010/2149"	"CONT/7/04008"	"A7-0116/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-05-10"	"543"	"477"	"55"	"11"	
"1608"	"A7-0043/2011 - Lívia Járóka - Résolution"	"EU strategy on Roma inclusion"	"Civil Liberties, Justice and Home Affairs"	"INI/2010/2276"	"LIBE/7/04584"	"A7-0043/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=609&key=0"	"609"	"2011-03-09"	"668"	"576"	"32"	"60"	
"2300"	"A7-0239/2011 - Proinsias De Rossa - § 63/2"	"Future for social services of general interest"	"Employment and Social Affairs"	"INI/2009/2222"	"EMPL/7/01750"	"A7-0239/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=692&key=0"	"692"	"2011-07-05"	"623"	"582"	"33"	"8"	
"2221"	"A7-0230/2011 - Francesca Balzani - Am 2/2"	"2012 budget: mandate for the trilogue"	"Budgets"	"BUD/2011/2019"	"BUDG/7/05097"	"A7-0230/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=520&key=0"	"520"	"2011-06-23"	"587"	"236"	"332"	"19"	
"1557"	"A7-0032/2011 - Edite Estrela - § 53/2"	"Reducing health inequalities in the EU"	"Environment, Public Health and Food Safety"	"INI/2010/2089"	"ENVI/7/02651"	"A7-0032/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=380&key=0"	"380"	"2011-03-08"	"666"	"370"	"278"	"18"	
"2418"	"A7-0255/2011 - Daniel Caspary - Résolution"	"New Trade Policy for Europe under the Europe 2020 Strategy"	"International Trade"	"INI/2010/2152"	"INTA/7/03300"	"A7-0255/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=237&key=0"	"237"	"2011-09-27"	"643"	"526"	"108"	"9"	
"2461"	"A7-0318/2011 - David Casa - Vote unique"	"Future of VAT"	"Economic and Monetary Affairs"	"INI/2011/2082"	"ECON/7/05688"	"A7-0318/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=236&key=0"	"236"	"2011-10-13"	"629"	"521"	"50"	"58"	
"2210"	"A7-0214/2011 - Romana Jordan Cizelj - Am 129"	"Management of spent fuel and radioactive waste: EU legal framework"	"Industry, Research and Energy"	"NLE/2010/0306"	"ITRE/7/04422"	"A7-0214/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=610&key=0"	"610"	"2011-06-23"	"634"	"288"	"323"	"23"	
"2423"	"A7-0178/2011 - Corien Wortmann-Kool - Am 13"	"Economic and Monetary Union EMU: strengthening of the surveillance of budgetary positions and the surveillance and coordination of economic policies (amend. Regulation (EC) No 1466/97)"	"Economic and Monetary Affairs"	"COD/2010/0280"	"ECON/7/04121"	"A7-0178/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=372&key=0"	"372"	"2011-09-28"	"657"	"362"	"265"	"30"	
"1570"	"A7-0026/2011 - Martin Häusling - § 2"	"EU protein deficit: what solution for a long standing problem?"	"Agriculture and Rural Development"	"INI/2010/2111"	"AGRI/7/02734"	"A7-0026/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=568&key=0"	"568"	"2011-03-08"	"650"	"598"	"47"	"5"	
"1660"	"A7-0329/2010 - Brian Simpson - Résolution législative"	"Statistics on tourism (repeal. Directive 95/57/EC)"	"Transport and Tourism"	"COD/2010/0063"	"TRAN/7/02672"	"A7-0329/2010"	""	"http://www.itsyourparliament.eu/api/mep.php?id=87&key=0"	"87"	"2011-04-06"	"674"	"634"	"30"	"10"	
"1550"	"A7-0032/2011 - Edite Estrela - § 9"	"Reducing health inequalities in the EU"	"Environment, Public Health and Food Safety"	"INI/2010/2089"	"ENVI/7/02651"	"A7-0032/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=380&key=0"	"380"	"2011-03-08"	"656"	"583"	"17"	"56"	
"1719"	"A7-0103/2011 - Georgios Stavrakakis - Vote unique"	"2009 discharge: European GNSS Supervisory Authority GSA"	"Budgetary Control"	"DEC/2010/2183"	"CONT/7/04066"	"A7-0103/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=559&key=0"	"559"	"2011-05-10"	"642"	"527"	"85"	"30"	
"2226"	"A7-0202/2011 - Albert Deß - Ams 31=35/1"	"CAP towards 2020: meeting the food, natural resources and territorial challenges of the future"	"Agriculture and Rural Development"	"INI/2011/2051"	"AGRI/7/04498"	"A7-0202/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=247&key=0"	"247"	"2011-06-23"	"603"	"215"	"380"	"8"	
"2340"	"A7-0121/2011 - Janusz Wojciechowski - Résolution législative"	"Animal diseases: vaccination against bluetongue (amend. Directive 2000/75/EC)"	"Agriculture and Rural Development"	"COD/2010/0326"	"AGRI/7/05225"	"A7-0121/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=434&key=0"	"434"	"2011-04-07"	"607"	"587"	"1"	"19"	
"1591"	"B7-0165/2011 - Résolution"	"Resolution on the European Strategy for the Atlantic Region"	""	"RSP/2011/2513"	""	"B7-0165/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-03-09"	"669"	"589"	"26"	"54"	
"1582"	"A7-0026/2011 - Martin Häusling - § 16"	"EU protein deficit: what solution for a long standing problem?"	"Agriculture and Rural Development"	"INI/2010/2111"	"AGRI/7/02734"	"A7-0026/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=568&key=0"	"568"	"2011-03-08"	"653"	"563"	"85"	"5"	
"2394"	"A7-0290/2011 - Vicky Ford - § 76/4"	"Facing the challenge of the safety of offshore oil and gas activities"	"Industry, Research and Energy"	"INI/2011/2072"	"ITRE/7/04889"	"A7-0290/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=643&key=0"	"643"	"2011-09-13"	"670"	"159"	"502"	"9"	
"1680"	"A7-0050/2011 - Cătălin Sorin Ivan - Résolution"	"Protection of the Communities' financial interests – Fight against fraud – Annual report 2009"	"Budgetary Control"	"INI/2010/2247"	"CONT/7/04352"	"A7-0050/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=382&key=0"	"382"	"2011-04-06"	"676"	"655"	"3"	"18"	
"2171"	"A7-0180/2011 - Sylvie Goulard - Am 6"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-06-23"	"669"	"231"	"404"	"34"	
"2168"	"A7-0180/2011 - Sylvie Goulard - Am 2/7"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-06-23"	"668"	"549"	"99"	"20"	
"1789"	"A7-0131/2011 - Georgios Stavrakakis - Décision"	"2009 discharge: European Joint Undertaking for ITER and the Development of Fusion Energy"	"Budgetary Control"	"DEC/2010/2187"	"CONT/7/04073"	"A7-0131/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=559&key=0"	"559"	"2011-05-10"	"636"	"468"	"124"	"44"	
"1615"	"A7-0052/2011 - Elmar Brok et Roberto Gualtieri - Am 36"	"Treaty on the Functioning of the EU (TFEU): stability mechanism for Member States whose currency is the euro (amend. Article 136 TFEU)"	"Constitutional Affairs"	"NLE/2010/0821"	"AFCO/7/04974"	"A7-0052/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=230&key=0"	"230"	"2011-03-23"	"618"	"105"	"505"	"8"	
"2364"	"RC-B7-0334/2011 – Resolution"	"Resolution on Belarus"	""	"RSP/2011/2686"	""	"RC-B7-0334/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=0&key=0"	"0"	"2011-05-12"	"59"	"52"	"2"	"5"	
"2625"	"A7-0325/2011 - Ingeborg Gräßle et Crescenzio Rivellini - Am 304rev"	"Financial Regulation and Implementing Rules applicable to the annual budget of the Union (repeal. Regulation (EC, Euratom) No 1605/2002)"	"Budgets"	"COD/2010/0395"	"BUDG/7/04994"	"A7-0325/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=500&key=0"	"500"	"2011-10-26"	"670"	"522"	"91"	"57"	
"2580"	"Projet de budget général de l'Union européenne - Exercice 2012 - Am 1064"	""	"Budgets"	""	""	""	""	"&key=0"	""	"2011-10-26"	"666"	"514"	"121"	"31"	
"2207"	"A7-0214/2011 - Romana Jordan Cizelj - Am 62/1"	"Management of spent fuel and radioactive waste: EU legal framework"	"Industry, Research and Energy"	"NLE/2010/0306"	"ITRE/7/04422"	"A7-0214/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=610&key=0"	"610"	"2011-06-23"	"635"	"527"	"99"	"9"	
"2596"	"A7-0354/2011 - Francesca Balzani et José Manuel Fernandes - Am 19"	"2012 budget: all sections"	"Budgets"	"BUD/2011/2020"	"BUDG/7/05117"	"A7-0354/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=252&key=0"	"252"	"2011-10-26"	"668"	"94"	"547"	"27"	
"2277"	"A7-0219/2011 - Bas Eickhout - § 110"	"Analysis of options to move beyond 20% greenhouse gas emission reductions and assessing the risk of carbon leakage"	"Environment, Public Health and Food Safety"	"INI/2011/2012"	"ENVI/7/03759"	"A7-0219/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=113&key=0"	"113"	"2011-07-05"	"660"	"538"	"117"	"5"	
"2163"	"A7-0180/2011 - Sylvie Goulard - Am 2/2"	"Euro area: effective enforcement of budgetary surveillance"	"Economic and Monetary Affairs"	"COD/2010/0278"	"ECON/7/04115"	"A7-0180/2011"	""	"http://www.itsyourparliament.eu/api/mep.php?id=3&key=0"	"3"	"2011-06-23"	"660"	"385"	"223"	"52"	
