"","full_name","country_name","epg_name","euro_country_id","euro_gruop_id","local_party_id","correctYea","wrongYea","wrongNay","correctNay","GMP","CC","coord1D","coord2D","se1D","se2D","corr.1"
"ADAMOU, Adamos","ADAMOU, Adamos","Cyprus","EUL/NGL",13,6,125,2170,277,135,1023,0.767150819301605,0.885714285714286,-0.279415041208267,0.960170388221741,0,0,0
"ADWENT, Filip","ADWENT, Filip","Poland","IND/DEM",21,7,180,139,85,95,182,0.558732092380524,0.640718562874252,0.0832222700119019,0.996530950069427,0,0,0
"AGNOLETTO, Vittorio","AGNOLETTO, Vittorio","Italy","EUL/NGL",1,6,21,2701,170,199,1251,0.812978267669678,0.914603101133997,-0.275449395179749,0.96131557226181,0,0,0
"ALBERTINI, Gabriele","ALBERTINI, Gabriele","Italy","EPP-ED",1,1,6,2542,100,143,2151,0.831032156944275,0.950769854132901,0.148052915930748,-0.349739342927933,0,0,0
"ALLISTER, James Hugh","ALLISTER, James Hugh","UK","na",6,8,65,735,489,515,2013,0.592489182949066,0.732409381663113,0.879457354545593,0.475977569818497,0,0,0
"ALVARO, Alexander Nuno","ALVARO, Alexander Nuno","Germany","ALDE",2,3,32,2389,493,403,1695,0.674794793128967,0.820080321285141,0.0596486367285252,0.117886804044247,0,0,0
"ANDERSSON, Jan","ANDERSSON, Jan","Sweden","SOC",3,2,34,2758,313,221,1592,0.748373985290527,0.890663390663391,-0.0674349367618561,-0.427215486764908,0,0,0
"ANDREJEVS, Georgs","ANDREJEVS, Georgs","Latvia","ALDE",14,3,129,2557,355,360,1743,0.720809578895569,0.857427716849452,0.0481940880417824,0.00905164238065481,0,0,0
"ANDRIA, Alfonso","ANDRIA, Alfonso","Italy","ALDE",1,3,16,1474,198,299,1046,0.692871809005737,0.835266821345708,0.0323597677052021,-0.0488256961107254,0,0,0
"ANDRIKIENE, Laima Liucija","ANDRIKIENE, Laima Liucija","Lithuania","EPP-ED",15,1,142,2453,56,98,1947,0.861761271953583,0.966183574879227,0.156573221087456,-0.350699782371521,0,0,0
"ANGELILLI, Roberta","ANGELILLI, Roberta","Italy","UEN",1,4,2,1813,307,373,1370,0.659303665161133,0.823971006989387,0.108430624008179,0.274001479148865,0,0,0
"ANTONIOZZI, Alfredo","ANTONIOZZI, Alfredo","Italy","EPP-ED",1,1,6,1261,68,72,1112,0.82181304693222,0.944289693593315,0.151189640164375,-0.352488070726395,0,0,0
"ARIF, Kader","ARIF, Kader","France","SOC",7,2,79,2594,115,236,1419,0.829807817935944,0.919569202566453,-0.0901855230331421,-0.563816785812378,0,0,0
"ARNAOUTAKIS, Stavros","ARNAOUTAKIS, Stavros","Greece","SOC",4,2,46,2652,135,229,1538,0.79241406917572,0.920070267896355,-0.06818588078022,-0.59263277053833,0,0,0
"ASHWORTH, Richard James","ASHWORTH, Richard James","UK","EPP-ED",6,1,54,1780,296,216,2339,0.745623171329498,0.889440725545239,0.250378668308258,0.787137269973755,0,0,0
"ASSIS, Francisco","ASSIS, Francisco","Portugal","SOC",5,2,53,1987,26,56,1190,0.888434112071991,0.974838907640381,-0.0879873409867287,-0.996121525764465,0,0,0
"ATKINS, Robert","ATKINS, Robert","UK","EPP-ED",6,1,54,1649,265,215,2114,0.743584275245667,0.88687249587556,0.245586082339287,0.789559304714203,0,0,0
"ATTARD-MONTALTO, John","ATTARD-MONTALTO, John","Malta","SOC",16,2,143,2413,119,175,1407,0.797647297382355,0.928536703937773,-0.048266340047121,-0.825304269790649,0,0,0
"ATTWOOLL, Elspeth","ATTWOOLL, Elspeth","UK","ALDE",6,3,62,2505,292,317,1601,0.735630035400391,0.870837751855779,0.0220833066850901,0.0106541225686669,0,0,0
"AUBERT, Marie-Hélène","AUBERT, Marie-Hélène","France","G/EFA",7,5,71,3115,190,161,1248,0.813732385635376,0.925540941875265,-0.211555883288383,0.356762319803238,0,0,0
"AUKEN, Margrete","AUKEN, Margrete","Denmark","G/EFA",17,5,152,2975,260,172,1198,0.783618152141571,0.906188925081433,-0.205845892429352,0.357296615839005,0,0,0
"AYALA SENDER, Inés","AYALA SENDER, Inés","Spain","SOC",8,2,91,2782,76,83,1722,0.892919600009918,0.965901779969976,-0.0845765396952629,-0.996416926383972,0,0,0
"AYLWARD, Liam","AYLWARD, Liam","Ireland","UEN",18,4,155,2242,433,485,1574,0.633365631103516,0.806083650190114,0.0934111922979355,0.27076780796051,0,0,0
"AYUSO GONZÁLEZ, María del Pilar","AYUSO GONZÁLEZ, María del Pilar","Spain","EPP-ED",8,1,90,2334,115,101,2055,0.838177144527435,0.953094462540717,0.151382744312286,-0.380657345056534,0,0,0
"BACHELOT-NARQUIN, Roselyne","BACHELOT-NARQUIN, Roselyne","France","EPP-ED",7,1,82,1078,88,90,935,0.779513120651245,0.918758557736194,0.121635966002941,-0.442584306001663,0,0,0
"BACO, Peter","BACO, Peter","Slovakia","na",11,8,108,1012,189,196,519,0.626510322093964,0.799060542797495,0.0536945983767509,0.289895713329315,0,0,0
"BADÍA i CUTCHET, María","BADÍA i CUTCHET, María","Spain","SOC",8,2,92,2776,79,87,1652,0.885671854019165,0.963865912059208,-0.0799594968557358,-0.996798038482666,0,0,0
"BARÓN CRESPO, Enrique","BARÓN CRESPO, Enrique","Spain","SOC",8,2,91,2265,61,72,1334,0.880505561828613,0.964362272240086,-0.0804746448993683,-0.996756732463837,0,0,0
